ID,Search Name,Name,Vintage,Country,Region,Winery,Price,Currency,Flavor,Acidity,Intensity,Sweetness,Tannin,Sparkling,Image Link,Grapes,Wine Style,Alcohol Content,Food Pairings,URL
5078,tenuta-san-guido-sassicaia-2016,Tenuta San Guido Sassicaia 2016,2016,Italy,Bolgheri Sassicaia,Tenuta San Guido,500000,₩,[],3.4875815,3.782796,1.7053751,3.878296,,//images.vivino.com/thumbs/L2ZTpFlDR2yMHe1-GA90Jw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/5078?year=2016
14362,chateau-pontet-canet-pauillac-grand-cru-classe-2009,Château Pontet-Canet Pauillac (Grand Cru Classé) 2009,2009,France,Pauillac,Château Pontet-Canet,367070,₩,[],4.198038,4.2183595,1.673676,4.2267156,,//images.vivino.com/thumbs/zoXYIDxFQzmf8fFpkNNUJQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/14362?year=2009
13759,clos-apalta-clos-apalta-2005,Clos Apalta Clos Apalta 2005,2005,Chile,Apalta Valley,Clos Apalta,124793,₩,[],3.070236,4.7000704,1.8060604,3.5429497,,//images.vivino.com/thumbs/4p9kX4l6QkS6ra9x6Br_iQ_pb_x600.png,"42% Carménère, 28% Cabernet Sauvignon, 26% Merlot, 4% Petit Verdot",Chilean Bordeaux Blend,[],[],https://www.vivino.com/w/13759?year=2005
1679343,freemark-abbey-bosche-vineyard-cabernet-sauvignon-2004,Freemark Abbey Bosché Vineyard Cabernet Sauvignon 2004,2004,United States,Rutherford,Freemark Abbey,400000,₩,[],3.4067516,4.7601047,1.5183904,3.4607875,,//images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,13.8%,"[['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']]",https://www.vivino.com/w/1679343?year=2004
3661401,amici-cellars-spring-mountain-cabernet-sauvignon-2011,Amici Spring Mountain Cabernet Sauvignon 2011,2011,United States,Spring Mountain District,Amici,500000,₩,[],3.528679,4.8238516,1.4472346,3.5271482,,//images.vivino.com/thumbs/qBVy1NqgT1K6jY22wdQSkA_pb_x600.png,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,[],"[['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']]",https://www.vivino.com/w/3661401?year=2011
836,chimney-rock-winery-elevage-2000,Chimney Rock Elevage 2000,2000,United States,Stags Leap District,Chimney Rock,360000,₩,[],3.7788687,4.6730227,1.4880911,3.398604,,//images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x600.png,[],[],[],"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/836?year=2000
5078,tenuta-san-guido-sassicaia-2017,Tenuta San Guido Sassicaia 2017,2017,Italy,Bolgheri Sassicaia,Tenuta San Guido,496041,₩,[],3.4875815,3.782796,1.7053751,3.878296,,//images.vivino.com/thumbs/L2ZTpFlDR2yMHe1-GA90Jw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/5078?year=2017
22447,ornellaia-bolgheri-superiore-bolgheri-superiore-2012,Ornellaia Bolgheri Superiore 2012,2012,Italy,Bolgheri Superiore,Ornellaia,396351,₩,[],3.4587712,3.877239,1.7904087,3.8897245,,//images.vivino.com/thumbs/Unx9_x0PRI2NyaC5mqQtHQ_pb_x600.png,"60% Cabernet Sauvignon, 22% Merlot, 14% Cabernet Franc, 4% Petit Verdot",Italian Bolgheri,14.5%,"[['Beef', 'Pasta', 'Lamb', 'Veal', 'Game (deer, venison)']]",https://www.vivino.com/w/22447?year=2012
1658,antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore-2016,Antinori Tenuta Guado al Tasso Bolgheri Superiore 2016,2016,Italy,Bolgheri Superiore,Antinori,400000,₩,[],3.415934,3.9343407,1.7344356,3.8640702,,//images.vivino.com/thumbs/pIvw9lKgRgKX1Yz8xhqNJg_pb_x600.png,"60% Cabernet Sauvignon, 20% Cabernet Franc, 20% Merlot",Italian Bolgheri,14%,"[['Beef', 'Pasta', 'Lamb', 'Veal', 'Game (deer, venison)']]",https://www.vivino.com/w/1658?year=2016
25474,sena-aconcagua-valley-2007,Sena Aconcagua Valley 2007,2007,Chile,Aconcagua Valley,Sena,168470,₩,[],3.1237693,4.548021,1.9078404,3.5518966,,//images.vivino.com/thumbs/DU7ypIztQEiTxv2nWmSUFw_pb_x600.png,100% Cabernet Franc,Chilean Bordeaux Blend,13%,"[['Beef', 'Pasta', 'Veal', 'Poultry']]",https://www.vivino.com/w/25474?year=2007
82613,fr-chateau-pape-clement-pessac-leognan-grand-cru-classe-de-graves-2010,Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2010,2010,France,Pessac-Léognan,Château Pape Clément,367070,₩,[],4.2092113,4.196215,1.6907008,4.2266726,,//images.vivino.com/thumbs/c1SE-xBESFirhNw96jwuxw_pb_x600.png,[],[],[],"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/82613?year=2010
81848,chateau-leoville-las-cases-saint-julien-grand-cru-classe-2005,Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2005,2005,France,Saint-Julien,Château Léoville Las Cases,460609,₩,[],4.184887,3.7826955,1.6329252,3.87069,,//images.vivino.com/thumbs/HMgTa8LGQXGC4MQze0nV7w_pb_x600.png,"Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot",Bordeaux Saint-Julien,13%,"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/81848?year=2005
9958,dominus-estate-dominus-christian-moueix-2014,Dominus Dominus (Christian Moueix) 2014,2014,United States,Napa Valley,Dominus,418091,₩,[],3.8244333,4.62405,1.6853112,3.5357523,,//images.vivino.com/thumbs/FvLdztxrRXOZxU1jfVoQKQ_pb_x600.png,"Cabernet Sauvignon, Cabernet Franc, Petit Verdot",Napa Valley Bordeaux Blend,14.3%,"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/9958?year=2014
18323,casa-silva-altura-2008,Casa Silva Altura 2008,2008,Chile,Colchagua Valley,Casa Silva,216307,₩,[],3.085678,4.3336477,1.7501409,3.4345257,,//images.vivino.com/thumbs/WXLuZ4cVQ7ur7p0slQWdRw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/18323?year=2008
1979,errazuriz-kai-carmenere-2010,Errazuriz Kai Carmenère 2010,2010,Chile,Aconcagua Valley,Errazuriz,500000,₩,[],3.1322324,4.279806,1.9459097,2.7133656,,//images.vivino.com/thumbs/OFlWCfdCScqHwM6UHkghiQ_pb_x600.png,"96% Carménère, 4% Petit Verdot",Chilean Carménère,14.5%,"[['Beef', 'Pasta', 'Lamb', 'Poultry']]",https://www.vivino.com/w/1979?year=2010
1179539,pavie-saint-emilion-grand-cru-premier-grand-cru-classe-1990,Château Pavie Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1990,1990,France,Saint-Émilion Grand Cru,Château Pavie,382660,₩,[],3.3889658,4.1933107,1.8624856,3.5276885,,//images.vivino.com/thumbs/uR706Yt5RKeKi3-xtL6QHA_pb_x600.png,"Cabernet Sauvignon, Cabernet Franc, Merlot",Bordeaux Saint-Émilion,13.5%,"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/1179539?year=1990
1168676,fr-chateau-latour-les-forts-de-latour-pauillac-2003,Château Latour Les Forts de Latour Pauillac 2003,2003,France,Pauillac,Château Latour,340142,₩,[],4.1633725,4.1814895,1.650976,4.091615,,//images.vivino.com/thumbs/iPJbOceNQRKoP-yIA0dNJA_pb_x600.png,100% Cabernet Sauvignon,Bordeaux Pauillac,12.5%,"[['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']]",https://www.vivino.com/w/1168676?year=2003
1179539,pavie-saint-emilion-grand-cru-premier-grand-cru-classe-2002,Château Pavie Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,2002,France,Saint-Émilion Grand Cru,Château Pavie,403919,₩,[],3.3889658,4.1933107,1.8624856,3.5276885,,//images.vivino.com/thumbs/uR706Yt5RKeKi3-xtL6QHA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1179539?year=2002
